ds,y,Open,High,Low,Volume,Chg%
2014-01-01,29542,29435,29598,29340,2930,0.25
2014-01-04,28116,28432,28507,28058,8840,-1.24
2014-01-05,30380,31033,31743,29914,2850,-2.04
2014-01-07,27975,28210,28277,27950,4410,-0.36
2014-01-08,28037,27810,28124,27761,3300,0.9
2014-01-09,27679,27747,27774,27651,4160,-0.41
2014-01-10,26790,26695,26840,26552,3920,-0.06
2014-01-12,26546,25803,26627,25123,5730,2.68
2014-02-01,29975,29678,30050,29678,3140,1.47
2014-02-04,28404,28035,28470,27361,480,1.02
2014-02-05,30182,30388,30440,30080,930,-0.65
2014-02-06,26626,27012,27130,26520,2920,-1.93
2014-02-07,27788,27950,28225,27750,2880,-0.67
2014-02-09,27340,27610,27676,27318,4010,-1.22
2014-02-12,26224,26438,27050,26087,1150,-1.21
2014-03-01,29727,30031,30125,29539,3050,-0.83
2014-03-02,29789,29502,29850,29402,11760,1.04
2014-03-03,32051,30700,32279,30700,5670,4.63
2014-03-04,28460,28500,28699,28365,110,0.2
2014-03-06,26732,26756,26874,26592,450,0.4
2014-03-07,27802,27552,27900,27552,1200,0.05
2014-03-09,27355,27362,27420,27186,1120,0.05
2014-03-10,26439,26931,26931,26377,11020,-1.31
2014-03-11,25868,25877,25947,25750,3750,-0.22
2014-03-12,26496,26309,26699,26236,90,1.04
2014-04-01,29279,29279,29279,29279,0,-1.51
2014-04-02,29534,29722,29821,29520,3160,-0.86
2014-04-03,31126,31500,32379,31090,1310,-2.89
2014-04-04,28519,28400,28885,28400,190,0.21
2014-04-06,26708,26582,26910,26582,130,-0.09
2014-04-07,27913,27884,27975,27755,260,0.4
2014-04-08,27952,28023,28118,27900,1020,-0.3
2014-04-09,27282,27418,27427,27262,270,-0.27
2014-04-11,25810,25930,25965,25725,220,-0.22
2014-04-12,26488,26299,26850,26299,60,-0.03
2014-05-02,29719,29515,30100,29515,4490,0.63
2014-05-03,32351,31200,32500,30770,1490,3.94
2014-05-04,28549,28549,28549,28549,0,0.11
2014-05-05,29967,30211,30347,29834,1040,-0.71
2014-05-06,26771,26800,26860,26605,70,0.24
2014-05-08,28392,27959,28790,27724,220,1.57
2014-05-09,27225,27250,27360,27068,340,-0.21
2014-05-10,26424,26424,26424,26424,0,-0.06
2014-05-11,25348,25578,26340,25201,980,-1.79
2014-05-12,26279,26698,26698,25801,170,-0.79
2014-06-01,29119,29300,29395,29051,24380,-0.55
2014-06-02,29231,29273,29448,29211,18560,-1.64
2014-06-03,30416,30350,30446,30105,21500,-5.98
2014-06-05,29109,29187,29231,29081,9330,-2.86
2014-06-06,26400,26548,26600,26350,11550,-1.39
2014-06-08,28559,28130,28640,28088,19080,0.59
2014-06-10,26637,26476,26667,26352,6970,0.81
2014-06-11,25467,25448,25568,25411,8380,0.47
2014-07-01,28959,29130,29195,28912,18710,-0.55
2014-07-02,29310,29259,29440,29259,14620,0.27
2014-07-03,30307,30361,30514,30130,19380,-0.36
2014-07-04,28574,28599,28643,28481,10450,0.09
2014-07-05,28747,29164,29275,28725,15480,-1.24
2014-07-07,27564,27611,27611,27455,11210,-1.25
2014-07-08,28695,28559,28750,28460,14960,0.48
2014-07-10,26673,26581,26710,26566,14870,0.14
2014-07-11,25926,25475,25970,25172,30780,1.8
2014-08-01,28934,28916,29029,28820,18140,-0.09
2014-08-04,28754,28639,28842,28639,5740,0.63
2014-08-05,28734,28787,28846,28665,9560,-0.05
2014-08-07,27594,27582,27725,27460,15210,0.11
2014-08-08,28515,28730,29010,28500,21260,-0.63
2014-08-09,27207,27448,27497,27116,13170,-0.07
2014-08-10,26633,26698,26885,26620,15810,-0.15
2014-08-12,26228,26277,26350,26164,10300,-0.19
2014-09-01,28997,28990,29053,28865,15130,0.22
2014-09-04,28710,28754,28856,28653,12120,-0.15
2014-09-05,28741,28677,28877,28673,10090,0.02
2014-09-06,26545,26400,26570,26278,8470,0.55
2014-09-07,27667,27620,27771,27612,11340,0.26
2014-09-09,27272,27237,27395,27159,15560,0.24
2014-09-10,26847,26696,26938,26696,16430,0.8
2014-09-12,27023,26322,27168,26321,25020,3.03
2014-10-01,29169,29030,29198,28960,15810,0.59
2014-10-02,29471,29349,29549,29349,11910,0.55
2014-10-03,30327,30253,30350,30145,13500,0.07
2014-10-04,29094,28757,29119,28757,13700,1.34
2014-10-06,26712,26585,26738,26475,11670,0.63
2014-10-07,28565,27650,28649,27560,40700,3.25
2014-10-08,28510,28510,28510,28510,0,-0.02
2014-10-09,27194,27350,27441,27152,13410,-0.29
2014-10-10,26855,26813,26940,26750,15640,0.03
2014-10-11,25719,25949,26070,25670,15440,-0.8
2014-10-12,27054,27000,27220,26910,18250,0.11
2014-11-02,29670,29500,29700,29500,14740,0.68
2014-11-03,30421,30301,30515,30166,23170,0.31
2014-11-04,29085,29090,29162,28973,10530,-0.03
2014-11-06,26736,26720,26780,26527,13560,0.09
2014-11-07,28441,28517,28579,28302,15110,-0.43
2014-11-08,28554,28480,28600,28445,8670,0.15
2014-11-09,26996,27207,27246,26970,18440,-0.73
2014-11-11,25793,25632,25861,25434,19180,0.29
2014-11-12,27142,27096,27240,26860,18570,0.33
2014-12-02,29698,29650,29724,29580,10770,0.09
2014-12-03,30627,30468,30690,30468,19020,0.68
2014-12-05,28860,28732,29025,28575,14220,0.41
